week,home_team,away_team,home_score,away_score,predicted_winner,actual_winner,home_win_prob,away_win_prob,correct
6,SEA,SF,24.0,36.0,SF,SF,0.3709153377651288,0.6290846622348711,True
6,CHI,JAX,35.0,16.0,JAX,CHI,0.441692338105376,0.558307661894624,False
6,BAL,WAS,30.0,23.0,BAL,BAL,0.6912710699759423,0.30872893002405766,True
6,GB,ARI,34.0,13.0,GB,GB,0.7257401129800031,0.27425988701999693,True
6,NE,HOU,21.0,41.0,NE,HOU,0.5032820743978413,0.49671792560215866,False
6,NO,TB,27.0,51.0,NO,TB,0.6407870304543146,0.3592129695456854,False
6,PHI,CLE,20.0,16.0,PHI,PHI,0.7222803998047498,0.2777196001952502,True
6,TEN,IND,17.0,20.0,TEN,IND,0.5805259608307675,0.41947403916923254,False
6,DEN,LAC,16.0,23.0,LAC,LAC,0.47585210753065443,0.5241478924693456,True
6,LV,PIT,13.0,32.0,LV,PIT,0.5188365120408739,0.4811634879591261,False
6,CAR,ATL,20.0,38.0,ATL,ATL,0.4030416050432643,0.5969583949567356,True
6,DAL,DET,9.0,47.0,DAL,DET,0.5281927646909172,0.47180723530908275,False
6,NYG,CIN,7.0,17.0,CIN,CIN,0.3676901255849755,0.6323098744150245,True
6,NYJ,BUF,20.0,23.0,BUF,BUF,0.32488575984384055,0.6751142401561594,True
7,NO,DEN,10.0,33.0,NO,DEN,0.7079157439249736,0.2920842560750264,False
7,JAX,NE,32.0,16.0,JAX,JAX,0.6635234792347844,0.3364765207652156,True
7,ATL,SEA,14.0,34.0,ATL,SEA,0.5357170636322032,0.46428293636779683,False
7,BUF,TEN,34.0,10.0,BUF,BUF,0.6961191096318317,0.30388089036816834,True
7,CLE,CIN,14.0,21.0,CIN,CIN,0.3949014319366062,0.6050985680633938,True
7,GB,HOU,24.0,22.0,GB,GB,0.6230431140439926,0.3769568859560074,True
7,IND,MIA,16.0,10.0,MIA,IND,0.39507594929468276,0.6049240507053173,False
7,MIN,DET,29.0,31.0,DET,DET,0.45357325340930327,0.5464267465906967,True
7,NYG,PHI,3.0,28.0,PHI,PHI,0.36920799953810873,0.6307920004618912,True
7,LA,LV,20.0,15.0,LA,LA,0.6096768386256479,0.3903231613743521,True
7,WAS,CAR,40.0,7.0,WAS,WAS,0.6913239580753552,0.3086760419246448,True
7,SF,KC,18.0,28.0,SF,KC,0.6976685579779274,0.3023314420220726,False
7,PIT,NYJ,37.0,15.0,PIT,PIT,0.7141385962364585,0.2858614037635415,True
7,TB,BAL,31.0,41.0,BAL,BAL,0.474817625600576,0.525182374399424,True
7,ARI,LAC,17.0,15.0,LAC,ARI,0.44736628750415736,0.5526337124958427,False
8,LA,MIN,30.0,20.0,MIN,LA,0.49963152312136894,0.5003684768786311,False
8,CIN,PHI,17.0,37.0,CIN,PHI,0.572112622310557,0.42788737768944296,False
8,CLE,BAL,29.0,24.0,BAL,CLE,0.36282623798474006,0.63717376201526,False
8,DET,TEN,52.0,14.0,DET,DET,0.7638840050783172,0.23611599492168278,True
8,HOU,IND,23.0,20.0,HOU,HOU,0.6153934178235573,0.3846065821764427,True
