week,games,correct,accuracy,log_loss,brier_score
6,14,8,0.5714285714285714,0.5988540886865498,0.20540432680423043
7,15,10,0.6666666666666666,0.6389989566704838,0.22311096855153809
8,16,9,0.5625,0.6488712467391247,0.2273654388125656
9,15,11,0.7333333333333333,0.6024878920882588,0.20666731699983393
10,14,10,0.7142857142857143,0.577523089338018,0.19405667646538963
11,14,10,0.7142857142857143,0.6474010722026111,0.22702183373756962
12,13,9,0.6923076923076923,0.6058660691360924,0.2088248173033085
13,16,9,0.5625,0.6286901516218831,0.2216045035487308
14,13,11,0.8461538461538461,0.4680355888795283,0.14503169845918165
15,16,8,0.5,0.7191301005519986,0.26110823574193215
16,16,11,0.6875,0.5270301425346582,0.17074565593017987
17,16,12,0.75,0.5651207609199332,0.1891528708243738
18,16,6,0.375,0.8073758262264171,0.30433558372616165
